City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
太原,122,92,170,1.14,83,80,144,21
台州,40,28,36,0.6,39,43,72,3
泰州,84,43,71,0.63,17,98,139,5
唐山,105,78,149,0.88,87,44,133,21
天津,81,59,109,0.97,62,86,101,19
天水,61,15,24,0.37,5,101,111,7
铁岭,93,50,134,1.45,51,75,88,23
铜川,78,39,98,0.63,47,93,132,10
通化,46,21,45,0.35,12,84,75,6
通辽,74,30,96,0.57,27,64,88,10
铜陵,76,55,81,0.78,25,101,125,11
铜仁地区,38,12,24,0.55,31,46,75,4
吐鲁番地区,106,79,92,0.65,32,105,120,8
瓦房店,0,0,0,0.0,0,0,0,0
潍坊,79,30,105,0.84,43,67,111,12
威海,52,13,47,0.4,9,102,101,2
渭南,87,42,121,0.45,64,67,127,9
文登,65,0,34,0.4,7,115,116,4
文山州,71,51,60,1.05,17,62,76,4
温州,46,28,45,0.85,74,9,33,7
乌海,100,48,147,0.83,56,89,135,19
武汉,66,40,79,0.93,73,56,114,8
芜湖,127,96,115,1.03,39,137,158,8
吴江,117,88,161,1.2,110,44,95,14
五家渠,50,12,48,0.7,22,71,98,8
乌兰察布,58,21,38,0.35,35,88,108,23
乌鲁木齐,53,15,53,0.53,29,81,101,5
武威,76,28,100,0.5,25,115,128,7
无锡,86,63,104,0.9,62,67,119,11
吴忠,87,42,121,0.93,52,99,141,14
梧州,24,16,20,0.9,14,36,46,8
厦门,40,15,37,0.53,24,72,79,6
西安,66,20,66,0.6,48,70,118,5
湘潭,43,30,35,0.79,27,42,44,5
湘西州,39,21,38,0.53,15,21,56,6
襄阳,141,107,132,1.13,91,40,104,14
咸宁,72,35,92,0.8,40,57,99,6
咸阳,69,45,85,0.76,48,82,110,9
孝感,76,46,82,1.3,41,81,129,8
锡林郭勒盟,42,2,17,0.2,14,61,82,84
兴安盟,63,25,74,0.7,30,61,89,9
邢台,111,83,162,0.83,52,112,135,19
西宁,82,39,55,1.0,30,115,137,40
新乡,120,90,167,0.88,64,117,148,22
信阳,126,95,145,0.73,36,146,169,9
新余,45,25,44,0.8,25,43,46,14
忻州,74,33,89,0.87,92,69,127,60
西双版纳州,158,120,176,1.6,75,26,114,7
宣城,72,44,92,0.53,51,76,113,6
许昌,132,100,131,1.2,47,106,167,35
徐州,83,52,108,0.57,42,104,138,9
雅安,36,25,35,0.48,24,56,60,5
延安,82,43,111,1.02,68,63,129,12
延边州,99,74,66,1.2,55,33,83,18
盐城,53,22,45,0.52,22,91,102,5
阳江,42,29,39,0.83,19,72,75,5
阳泉,110,82,144,1.92,57,94,147,36
扬州,75,45,97,0.43,35,86,114,8
烟台,71,32,90,0.4,41,67,82,6
宜宾,83,61,77,0.78,50,26,69,11
宜昌,64,39,75,0.78,57,20,78,8
宜春,39,24,38,0.6,20,52,52,7
伊春,63,22,74,0.4,21,62,91,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,44,16,38,0.9,26,75,86,8
银川,69,36,85,1.2,58,81,109,30
营口,73,50,94,0.68,23,135,121,10
鹰潭,30,18,17,0.3,18,60,59,22
义乌,56,39,51,0.6,67,7,38,6
宜兴,98,69,143,0.65,55,58,98,20
益阳,70,50,65,1.1,20,35,48,13
永州,27,14,23,0.5,29,48,53,5
岳阳,57,39,62,1.17,51,30,68,5
玉林,38,23,26,0.87,17,33,74,5
榆林,71,51,88,1.44,113,22,75,26
运城,107,63,120,0.7,13,164,166,12
云浮,66,47,71,0.9,37,27,53,7
玉树州,51,10,30,0.4,2,96,100,8
玉溪,63,37,60,0.73,26,98,114,9
枣庄,91,60,129,0.55,44,109,141,24
张家港,67,34,81,0.35,26,77,119,4
张家界,42,16,38,0.75,33,39,83,2
张家口,68,31,84,1.12,57,37,85,15
章丘,73,37,93,0.45,38,108,119,16
张掖,73,32,69,0.45,24,109,126,15
漳州,66,37,79,0.63,36,46,78,5
湛江,48,24,36,0.6,6,97,94,3
肇庆,98,73,111,1.43,88,13,49,10
昭通,39,22,29,0.5,20,70,77,9
招远,0,0,0,0.0,0,0,0,0
郑州,160,121,170,0.93,52,136,166,15
镇江,81,50,88,0.6,43,78,136,5
中山,45,15,29,0.55,16,54,89,4
中卫,82,26,72,0.5,14,135,137,7
周口,110,82,153,0.95,66,93,163,16
舟山,36,21,35,0.77,59,16,46,4
珠海,44,17,27,0.57,19,76,87,3
诸暨,0,0,0,0.0,0,0,0,0
驻马店,102,64,125,0.63,59,96,161,6
株洲,40,28,28,0.57,36,29,35,5
淄博,85,53,118,1.07,66,77,123,25
自贡,55,36,57,0.6,15,60,84,4
资阳,54,35,56,0.64,50,30,56,6
遵义,22,12,21,0.65,19,43,41,7
